Crop_enc,State_enc,Season_enc,Year_int,Area,Production,Yield
34,12,0,2010,2.77,2.73,986.0
34,13,0,2010,0.25,0.27,1080.0
34,16,0,2010,1.04,0.71,686.0
34,17,0,2010,8.91,5.29,594.0
34,18,0,2010,0.02,0.03,1490.0
34,20,0,2010,4.88,1.65,337.0
34,21,0,2010,13.02,9.76,750.0
34,23,0,2010,0.01,0.01,750.0
34,25,0,2010,0.03,0.02,840.0
34,26,0,2010,1.35,1.24,916.0
34,29,0,2010,0.04,0.04,929.0
34,30,0,2010,0.21,0.16,761.0
34,32,0,2010,0.36,0.24,662.0
34,33,0,2010,3.41,1.51,442.0
34,34,0,2010,0.01,0.01,750.0
34,35,0,2010,3.44,3.09,898.0
34,36,0,2010,0.02,0.01,706.0
34,37,0,2010,0.02,0.02,1423.0
34,0,0,2010,43.67,28.61,655.0
35,1,1,2010,0.03,0.01,442.0
35,2,0,2010,0.24,0.1,417.0
35,2,1,2010,3.65,1.94,532.0
35,3,0,2010,0.04,0.03,887.0
35,4,1,2010,0.49,0.27,558.0
35,5,0,2010,0.15,0.13,854.0
35,7,0,2010,1.02,0.29,286.0
35,7,1,2010,0.03,0.01,281.0
35,8,0,2010,0.01,0.01,800.0
35,12,0,2010,1.02,0.69,676.0
35,13,0,2010,0.04,0.02,500.0
35,14,0,2010,0.1,0.05,474.0
35,15,0,2010,0.14,0.05,337.0
35,16,0,2010,0.9,0.72,802.0
35,17,0,2010,1.18,0.41,347.0
35,17,1,2010,0.09,0.04,444.0
35,20,0,2010,5.85,2.28,390.0
35,20,1,2010,0.07,0.03,394.0
35,21,0,2010,4.82,3.29,683.0
35,25,0,2010,0.13,0.15,1152.0
35,26,0,2010,1.26,0.37,292.0
35,26,1,2010,0.08,0.03,372.0
35,28,1,2010,0.01,0.01,525.0
35,29,0,2010,0.03,0.02,571.0
35,30,0,2010,1.28,0.94,737.0
35,31,0,2010,0.04,0.03,868.0
35,31,1,2010,0.04,0.03,718.0
35,32,0,2010,0.39,0.21,531.0
35,32,1,2010,2.65,1.03,388.0
35,33,0,2010,0.58,0.36,621.0
35,33,1,2010,0.17,0.13,763.0
35,34,0,2010,0.01,0.01,664.0
35,35,0,2010,5.56,3.72,669.0
35,37,0,2010,0.45,0.28,632.0
35,37,1,2010,0.12,0.11,899.0
35,0,0,2010,25.24,14.15,561.0
35,0,1,2010,7.43,3.63,489.0
15,2,0,2010,0.66,0.17,258.0
15,2,1,2010,1.01,0.35,349.0
15,4,1,2010,0.09,0.04,459.0
15,5,0,2010,0.09,0.06,656.0
15,5,1,2010,1.63,0.98,601.0
15,12,0,2010,1.77,0.89,503.0
15,12,1,2010,1.02,0.62,608.0
15,13,0,2010,0.22,0.12,545.0
15,16,0,2010,0.47,0.23,501.0
15,17,0,2010,3.91,1.08,276.0
15,17,1,2010,0.11,0.03,273.0
15,21,0,2010,5.54,3.72,671.0
15,21,1,2010,0.04,0.02,500.0
15,26,0,2010,1.04,0.24,230.0
15,26,1,2010,1.84,0.61,332.0
15,28,1,2010,0.01,0.01,469.0
15,29,0,2010,0.08,0.06,808.0
15,30,0,2010,10.5,6.53,621.0
15,32,0,2010,0.28,0.18,637.0
15,32,1,2010,1.44,0.4,278.0
15,33,0,2010,1.95,1.05,538.0
15,33,1,2010,0.16,0.09,550.0
15,35,0,2010,0.89,0.62,697.0
15,37,0,2010,0.01,0.01,705.0
15,37,1,2010,0.17,0.12,689.0
15,0,0,2010,27.42,14.96,546.0
15,0,1,2010,7.53,3.27,434.0
18,2,0,2010,0.11,0.04,318.0
18,2,1,2010,0.35,0.19,525.0
18,3,1,2010,0.04,0.05,1220.0
18,4,1,2010,0.36,0.21,585.0
18,5,0,2010,0.13,0.13,956.0
18,5,1,2010,0.97,0.97,1003.0
18,7,0,2010,0.62,0.18,288.0
18,7,1,2010,3.73,2.2,588.0
18,8,1,2010,0.03,0.03,1000.0
18,9,1,2010,0.01,0.01,846.0
18,11,1,2010,0.07,0.08,1063.0
18,12,0,2010,0.56,0.3,536.0
18,13,0,2010,0.08,0.03,375.0
18,13,1,2010,0.02,0.02,905.0
18,14,0,2010,0.1,0.08,806.0
18,14,1,2010,0.13,0.28,2089.0
18,15,0,2010,0.1,0.09,886.0
18,15,1,2010,0.02,0.02,836.0
18,16,0,2010,0.59,0.38,648.0
18,16,1,2010,0.36,0.34,946.0
18,17,0,2010,2.39,1.55,649.0
18,17,1,2010,1.74,0.94,540.0
18,20,0,2010,1.0,0.35,353.0
